,,,Universitas,,,,Alamat,Kota,Kode Pos,Full Address,Latitude,Longitude,,,,,Address,Lat,Long
255,348,Aktif,Akademi Kebidanan Sentral,22 Oktober 2004 ,169DO2004,22 Oktober 2004 ,"Jl Tandang Mulia Hrp No 1 Komp Sidimpuan Baru 
kelurahan Silandit
Kota Padangs",Kec. Padang Sidimpuan Selatan - Kota Padang Sidempuan - Prop. Sumatera Utara,22728,"Jl Tandang Mulia Hrp No 1 Komp Sidimpuan Baru 
kelurahan Silandit
Kota Padangs Kec. Padang Sidimpuan Selatan - Kota Padang Sidempuan - Prop. Sumatera Utara 22728 ",,,0634 22213,0634 22213,akbidsentral@rokcetmail.com,akbid-sentral.ac.id,"Akademi Kebidanan Sentral Jl Tandang Mulia Hrp No 1 Komp Sidimpuan Baru 
kelurahan Silandit
Kota Padangs Kec. Padang Sidimpuan Selatan - Kota Padang Sidempuan - Prop. Sumatera Utara 22728",,
256,349,Aktif,Akademi Informatika Dan Komputer Medicom,17 Januari 2003 ,135DO2003,17 Januari 2003 ,Jalan Bantam No 12 ,Kec. Medan Deli - Kota Medan - Prop. Sumatera Utara,20231,Jalan Bantam No 12  Kec. Medan Deli - Kota Medan - Prop. Sumatera Utara 20231 ,,,061-4578066,061-4578074,sahabatmedicom@gmail.com,www.medicom.ac.id,Akademi Informatika Dan Komputer Medicom Jalan Bantam No 12  Kec. Medan Deli - Kota Medan - Prop. Sumatera Utara 20231,,
257,350,Aktif,Akademi Kebidanan Agatha,1 Maret 2003 ,52,24 Desember 1992 ,Jl PDT J Wismar Saragih ,Kec. Siantar Utara - Kota Pematang Siantar - Prop. Sumatera Utara,21124,Jl PDT J Wismar Saragih  Kec. Siantar Utara - Kota Pematang Siantar - Prop. Sumatera Utara 21124 ,,,0622-7436548, 0622-7436548, agathaakbid@gmail.com, ,Akademi Kebidanan Agatha Jl PDT J Wismar Saragih  Kec. Siantar Utara - Kota Pematang Siantar - Prop. Sumatera Utara 21124,2.973834,99.055588
258,351,Aktif,Akademi Keperawatan Pemkab Tapanuli Utara,10 Oktober 2003 ,26,26 Juli 2003 ,"Jalan Agus Salim No 2 Tarutung
Kabupaten Tapanuli Utara
Sumatera Utara",Kec. Tarutung - Kab. Tapanuli Utara - Prop. Sumatera Utara,22411,"Jalan Agus Salim No 2 Tarutung
Kabupaten Tapanuli Utara
Sumatera Utara Kec. Tarutung - Kab. Tapanuli Utara - Prop. Sumatera Utara 22411 ",,,633322342,633322342,akpertaput@yahoo.com,www.akperpemkabtaput.com,"Akademi Keperawatan Pemkab Tapanuli Utara Jalan Agus Salim No 2 Tarutung
Kabupaten Tapanuli Utara
Sumatera Utara Kec. Tarutung - Kab. Tapanuli Utara - Prop. Sumatera Utara 22411",,
259,352,Aktif,Akademi Refraksi Optisi Binalita Sudama,3 Maret 2005 ,785DT2008,13 Maret 2008 ,Jl Gedung PBSI Pasar V Medan Estate,Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara,20371,Jl Gedung PBSI Pasar V Medan Estate Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara 20371 ,,,061-661-5628, ,aroybsmedan@yahoo.com, ,Akademi Refraksi Optisi Binalita Sudama Jl Gedung PBSI Pasar V Medan Estate Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara 20371,,
260,353,Aktif,Akademi Keperawatan Binalita Sudama,3 Maret 2005 ,24DO2005,3 Maret 2005 ,Gedung PBSI V Medan Estate ,Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia,20371,Gedung PBSI V Medan Estate  Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia 20371 ,3.6034713,98.7196889,061-6620661, 061-6620661,akper_ybs@yahoo.com, ,Akademi Keperawatan Binalita Sudama Gedung PBSI V Medan Estate  Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia 20371,,
261,354,Aktif,Akademi Teknik Elektro Medik Binalita Sudama,3 Maret 2005 ,2458DT2008,5 Agustus 2008 ,Jl Gedung PBSI Pasar V ,Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara,20371,Jl Gedung PBSI Pasar V  Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara 20371 ,,,616625953, , , ,Akademi Teknik Elektro Medik Binalita Sudama Jl Gedung PBSI Pasar V  Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara 20371,,
262,355,Aktif,Akademi Kebidanan Dewi Maya,28 Mei 2005 ,07DO2009,6 Juli 2009 ,JLN ABDUL HAKIM NO275 KP. SUSUK MEDAN,Kec. Medan Amplas - Kota Medan - Prop. Sumatera Utara,20000,JLN ABDUL HAKIM NO275 KP. SUSUK MEDAN Kec. Medan Amplas - Kota Medan - Prop. Sumatera Utara 20000 ,,,061-8224835,061-8224824, dewimaya1992@yahoo.co.id, www.dewimaya.ac.id,Akademi Kebidanan Dewi Maya JLN ABDUL HAKIM NO275 KP. SUSUK MEDAN Kec. Medan Amplas - Kota Medan - Prop. Sumatera Utara 20000,,
263,356,Aktif,Akademi Kebidanan Arta Kabanjahe,26 Mei 2005 ,70DO2005,26 Mei 2005 ,Jl Jamin Ginting No 27 ,Prop. Sumatera Utara - Indonesia,22114,Jl Jamin Ginting No 27  Prop. Sumatera Utara - Indonesia 22114 ,3.523577,98.6277764,0628-20677,62822874,akperakbid_arta@yahoo.co.id, ,Akademi Kebidanan Arta Kabanjahe Jl Jamin Ginting No 27  Prop. Sumatera Utara - Indonesia 22114,3.1580541,98.5078823
264,357,Aktif,Akademi Pariwisata Medan Hotel School,9 Agustus 2004 ,114DO2004,9 Agustus 2004 ,Jalan AH Nasution Komplek Griya Milala Mas Blok A 1-3,Kec. Medan Johor - Kota Medan - Prop. Sumatera Utara,20142,Jalan AH Nasution Komplek Griya Milala Mas Blok A 1-3 Kec. Medan Johor - Kota Medan - Prop. Sumatera Utara 20142 ,,,061-8227756,061-8227756,infomhs2003@yahoo.com,www.akparmhs.ac.id,Akademi Pariwisata Medan Hotel School Jalan AH Nasution Komplek Griya Milala Mas Blok A 1-3 Kec. Medan Johor - Kota Medan - Prop. Sumatera Utara 20142,3.541104,98.6620569
265,358,Aktif,Akademi Kebidanan Hisarma Medan,30 Juni 2004 ,124YRSUHVIII2008,9/3/2008,Jl Gatot Subroto No 108128 ,Kec. Medan Petisah - Kota Medan - Prop. Sumatera Utara,20123,Jl Gatot Subroto No 108128  Kec. Medan Petisah - Kota Medan - Prop. Sumatera Utara 20123 ,3.5907967,98.635908,8451868, , akbid_hisarma@yahoo.com, www.hisarma.ac.id,Akademi Kebidanan Hisarma Medan Jl Gatot Subroto No 108128  Kec. Medan Petisah - Kota Medan - Prop. Sumatera Utara 20123,,
266,359,Aktif,Akademi Keperawatan Helvetia Medan,5 Januari 1996 ,144DO2005,9/29/2005,Jl Sei Mencirim Gg Pelita ,Kec. Medan Sunggal - Kota Medan - Prop. Sumatera Utara,20351,Jl Sei Mencirim Gg Pelita  Kec. Medan Sunggal - Kota Medan - Prop. Sumatera Utara 20351 ,,,061-8451021,061-8465779,akper@helvetia.ac.id,www.helvetia.ac.id,Akademi Keperawatan Helvetia Medan Jl Sei Mencirim Gg Pelita  Kec. Medan Sunggal - Kota Medan - Prop. Sumatera Utara 20351,,
267,360,Aktif,Akademi Kebidanan Cipto Medan,6 Agustus 2005 ,2316DT2008,15 Juli 2008 ,Jl Perjuangan No 159 ,Kec. Medan Tembung - Kota Medan - Prop. Sumatera Utara,20237,Jl Perjuangan No 159  Kec. Medan Tembung - Kota Medan - Prop. Sumatera Utara 20237 ,3.603777,98.7047489,061 (6640249),061 (4566647), , ,Akademi Kebidanan Cipto Medan Jl Perjuangan No 159  Kec. Medan Tembung - Kota Medan - Prop. Sumatera Utara 20237,3.603777,98.7047489
268,361,Aktif,Akademi Kebidanan Harapan Mama Deli Serdang,18 Desember 2002 ,01.02HM2002,18 Desember 2002 ,"Jl Medan Batang Kuis Km 14,5 No 10 Sei Rotan",Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia,20371,"Jl Medan Batang Kuis Km 14,5 No 10 Sei Rotan Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia 20371 ",,,061-7381812,061-7382256,akbidharapanmama@yahoo.co.id,www.akbidharapanmama.ac.id,"Akademi Kebidanan Harapan Mama Deli Serdang Jl Medan Batang Kuis Km 14,5 No 10 Sei Rotan Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia 20371",,
269,362,Aktif,Akademi Keperawatan Darmo Medan,21 Mei 1990 ,187DO2005,29 Desember 2005 ,Jalan Tali Air No 23 ,Kec. Medan Tuntungan - Kota Medan - Prop. Sumatera Utara,20141,Jalan Tali Air No 23  Kec. Medan Tuntungan - Kota Medan - Prop. Sumatera Utara 20141 ,3.5230562,98.6320898,061-8360589,061-8360589, , ,Akademi Keperawatan Darmo Medan Jalan Tali Air No 23  Kec. Medan Tuntungan - Kota Medan - Prop. Sumatera Utara 20141,3.5211371,98.6307374
270,363,Aktif,Akademi Kebidanan YYS Pendidikan Dr Rusdi Medan,16 Januari 2006 ,06DO2006,16 Januari 2006 ,Jl H Sutan Oloan No 1 Komp Pondok Surya,Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara,20124,Jl H Sutan Oloan No 1 Komp Pondok Surya Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara 20124 ,3.6139902,98.6584454,061-8474290,061-8455304,akbid_dr.rusdi@yahoo.com,akbiddrrusdi.ac.id,Akademi Kebidanan YYS Pendidikan Dr Rusdi Medan Jl H Sutan Oloan No 1 Komp Pondok Surya Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara 20124,,
271,364,Aktif,Akademi Kebidanan Mitra Husada Medan,29 Juni 2006 ,109DO2006,29 Juni 2006 ,Jl. Pintu Air IV Pasar VIII,Kec. Medan Johor - Kota Medan - Prop. Sumatera Utara,20142,Jl. Pintu Air IV Pasar VIII Kec. Medan Johor - Kota Medan - Prop. Sumatera Utara 20142 ,3.513759,98.6522069,(061) 77419099,(061) 8367405, , ,Akademi Kebidanan Mitra Husada Medan Jl. Pintu Air IV Pasar VIII Kec. Medan Johor - Kota Medan - Prop. Sumatera Utara 20142,3.513759,98.6522069
272,365,Aktif,Akademi Kebidanan Hafsyah Medan,9 Juni 2005 ,85DO2005,9 Juni 2005 ,Jl Letda Sujono Gg Sentosa 241 Bandar Selamat,Kec. Medan Tembung - Kota Medan - Prop. Sumatera Utara,20371,Jl Letda Sujono Gg Sentosa 241 Bandar Selamat Kec. Medan Tembung - Kota Medan - Prop. Sumatera Utara 20371 ,,,061-7750-9333, , , ,Akademi Kebidanan Hafsyah Medan Jl Letda Sujono Gg Sentosa 241 Bandar Selamat Kec. Medan Tembung - Kota Medan - Prop. Sumatera Utara 20371,,
273,366,Aktif,Akademi Kebidanan Ika Bina Labuhan Batu,15 Mei 2006 ,2319DT2008,15 Juli 2008 ,Jalan Dewi Sartika Komplek Citra Raysa Indah,Kec. Bilah Barat - Kab. Labuhan Batu - Prop. Sumatera Utara,21415,Jalan Dewi Sartika Komplek Citra Raysa Indah Kec. Bilah Barat - Kab. Labuhan Batu - Prop. Sumatera Utara 21415 ,,,0624-24749,0624-24749,ikabina.akbid@gmail.com, ,Akademi Kebidanan Ika Bina Labuhan Batu Jalan Dewi Sartika Komplek Citra Raysa Indah Kec. Bilah Barat - Kab. Labuhan Batu - Prop. Sumatera Utara 21415,,
274,367,Aktif,Akademi Kebidanan Budi Mulia Medan,24 Agustus 2006 ,167DO2006,24 Agustus 2006 ,"Jl. Jamin Ginting, KM. 11 No. 78 Medan",Kec. Medan Selayang - Kota Medan - Prop. Sumatera Utara,20222,"Jl. Jamin Ginting, KM. 11 No. 78 Medan Kec. Medan Selayang - Kota Medan - Prop. Sumatera Utara 20222 ",,,6177075921,6177075921,akbidbudimulia@gmail.com,http:www.akbidbudimulia.blogspot.com,"Akademi Kebidanan Budi Mulia Medan Jl. Jamin Ginting, KM. 11 No. 78 Medan Kec. Medan Selayang - Kota Medan - Prop. Sumatera Utara 20222",3.5333818,98.6464548
275,368,Aktif,Akademi Kebidanan Sehati,24 Agustus 2006 ,2971DT2008,9/4/2008,Jalan Pembangunan No 39 Helvetia,Kota Medan - Prop. Sumatera Utara - Indonesia,20124,Jalan Pembangunan No 39 Helvetia Kota Medan - Prop. Sumatera Utara - Indonesia 20124 ,3.6099733,98.6486956,061-77816129, 061-80030231, akbid.sehati@gmail.com,akbidsehati-medan.ac.idsumut,Akademi Kebidanan Sehati Jalan Pembangunan No 39 Helvetia Kota Medan - Prop. Sumatera Utara - Indonesia 20124,3.609504,98.6584589
276,369,Aktif,Akademi Kebidanan Kesehatan Baru,4/21/2006,144DO2006,31 Juli 2006 ,Jl Sisingamangaraja No 14 ,Kec. Dolok Sanggul - Kab. Humbang Hasudutan - Prop. Sumatera Utara,21002,Jl Sisingamangaraja No 14  Kec. Dolok Sanggul - Kab. Humbang Hasudutan - Prop. Sumatera Utara 21002 ,,,63331535,63331535, akbidakperkb@yahoo.co.id, www.akkb.ac.id,Akademi Kebidanan Kesehatan Baru Jl Sisingamangaraja No 14  Kec. Dolok Sanggul - Kab. Humbang Hasudutan - Prop. Sumatera Utara 21002,,
277,370,Aktif,AKPER Gita Matura Abadi Kisaran,15 Mei 1994 ,3306DT2008,9/17/2008,Jalan Kh Agus Salim No 45 ,Kec. Kisaran Timur - Kab. Asahan - Prop. Sumatera Utara,21221,Jalan Kh Agus Salim No 45  Kec. Kisaran Timur - Kab. Asahan - Prop. Sumatera Utara 21221 ,,,0623-42915,0623-345480,yagma@yahoo.co.id,http:www.akperyagma.ac.id,AKPER Gita Matura Abadi Kisaran Jalan Kh Agus Salim No 45  Kec. Kisaran Timur - Kab. Asahan - Prop. Sumatera Utara 21221,,
278,372,Aktif,Akademik Kebidanan Armina Centre Panyabungan,24 Mei 2006 ,3,24 Mei 2006 ,Jalan William Iskandar 176 ,Kec. Panyabungan Kota - Kab. Mandailing Natal - Prop. Sumatera Utara,12345,Jalan William Iskandar 176  Kec. Panyabungan Kota - Kab. Mandailing Natal - Prop. Sumatera Utara 12345 ,,,0636-321716, , , ,Akademik Kebidanan Armina Centre Panyabungan Jalan William Iskandar 176  Kec. Panyabungan Kota - Kab. Mandailing Natal - Prop. Sumatera Utara 12345,,
279,373,Aktif,Akademi Kebidanan Matorkis,9/5/2006,48DO2007,12 Juli 2006 ,Jalan Mandailing 39 Sihitang,Kec. Padang Sidimpuan Tenggara - Kota Padang Sidempuan - Prop. Sumatera Utara,0,Jalan Mandailing 39 Sihitang Kec. Padang Sidimpuan Tenggara - Kota Padang Sidempuan - Prop. Sumatera Utara 0 ,,,0634-23559, , , ,Akademi Kebidanan Matorkis Jalan Mandailing 39 Sihitang Kec. Padang Sidimpuan Tenggara - Kota Padang Sidempuan - Prop. Sumatera Utara 0,,
280,375,Aktif,Akademi Kebidanan Takasima Kabanjahe,14 Agustus 2007 ,149DO2007,14 Agustus 2007 ,Jl Jamin Ginting No 81 ,Kec. Kabanjahe - Kab. Karo - Prop. Sumatera Utara,0,Jl Jamin Ginting No 81  Kec. Kabanjahe - Kab. Karo - Prop. Sumatera Utara 0 ,,,62892280,62992280, , ,Akademi Kebidanan Takasima Kabanjahe Jl Jamin Ginting No 81  Kec. Kabanjahe - Kab. Karo - Prop. Sumatera Utara 0,,
281,376,Aktif,Akademi Kebidanan Mitra Syuhada Padangsidimpuan,15 Maret 2007 ,9,15 Maret 2007 ,"Jalan Imam Bonjol Km 5,5 ",Kota Padang Sidempuan - Prop. Sumatera Utara - Indonesia,22733,"Jalan Imam Bonjol Km 5,5  Kota Padang Sidempuan - Prop. Sumatera Utara - Indonesia 22733 ",,,0634 28789, , , ,"Akademi Kebidanan Mitra Syuhada Padangsidimpuan Jalan Imam Bonjol Km 5,5  Kota Padang Sidempuan - Prop. Sumatera Utara - Indonesia 22733",,
282,377,Aktif,Akademi Kebidanan Namira Kotanopan,14 Juni 2007 ,12,4/10/2006,Jl BHAYANGKARA NO. 125 GUNUNG TUA LUMBAN PASIR. PANYABUNGAN,Kab. Mandailing Natal - Prop. Sumatera Utara - Indonesia,22918,Jl BHAYANGKARA NO. 125 GUNUNG TUA LUMBAN PASIR. PANYABUNGAN Kab. Mandailing Natal - Prop. Sumatera Utara - Indonesia 22918 ,,,636321875,636321875,info@akbid-namiramadina.ac.id,www.akbid-namiramadina.ac.id,Akademi Kebidanan Namira Kotanopan Jl BHAYANGKARA NO. 125 GUNUNG TUA LUMBAN PASIR. PANYABUNGAN Kab. Mandailing Natal - Prop. Sumatera Utara - Indonesia 22918,,
283,378,Aktif,Akademi Kebidanan Darmais Padangsidimpuan,24 Januari 2007 ,17,24 Januari 2007 ,Jl. Belibis No. 1 Perumahan Sopo Indah Singulang,Kec. Padang Sidimpuan Tenggara - Kota Padang Sidempuan - Prop. Sumatera Utara,12345,Jl. Belibis No. 1 Perumahan Sopo Indah Singulang Kec. Padang Sidimpuan Tenggara - Kota Padang Sidempuan - Prop. Sumatera Utara 12345 ,,,6347020950, , , ,Akademi Kebidanan Darmais Padangsidimpuan Jl. Belibis No. 1 Perumahan Sopo Indah Singulang Kec. Padang Sidimpuan Tenggara - Kota Padang Sidempuan - Prop. Sumatera Utara 12345,,
284,380,Aktif,Akademi Kebidanan Ibtisam Aulia,9/11/2006,142D02007,3 Agustus 2007 ,Jalan Jenderal Sudirman ,Kab. Asahan - Prop. Sumatera Utara - Indonesia,21224,Jalan Jenderal Sudirman  Kab. Asahan - Prop. Sumatera Utara - Indonesia 21224 ,3.0688614,99.6084321,0623-43602, ,akbid_ibtisam@yahoo.co.id, ,Akademi Kebidanan Ibtisam Aulia Jalan Jenderal Sudirman  Kab. Asahan - Prop. Sumatera Utara - Indonesia 21224,3.0109344,99.608993
285,381,Aktif,Akademi Kebidanan Bina Daya Husada,4 Desember 2006 ,1.-,4 Desember 2006 ,Jalan Dr Sutomo No 159 ,Prop. Sumatera Utara - Indonesia,22114,Jalan Dr Sutomo No 159  Prop. Sumatera Utara - Indonesia 22114 ,2.9570843,99.0661951,0623-41283,0623-41283, , ,Akademi Kebidanan Bina Daya Husada Jalan Dr Sutomo No 159  Prop. Sumatera Utara - Indonesia 22114,,
286,383,Aktif,Akademi Kebidanan Baruna Husada Sibuhuan,9 Maret 2007 ,150DO2007,14 Agustus 2007 ,Jalan Lintas Sibuhuan-Gunung Tua Km.8 Desa Sangkilon Kecamatan Lubuk Barumun Kab,Kab. Padang Lawas - Prop. Sumatera Utara - Indonesia,22763,Jalan Lintas Sibuhuan-Gunung Tua Km.8 Desa Sangkilon Kecamatan Lubuk Barumun Kab Kab. Padang Lawas - Prop. Sumatera Utara - Indonesia 22763 ,,,85296614173, ,barunahusada@gmail.com, baruna-husada.ac.id,Akademi Kebidanan Baruna Husada Sibuhuan Jalan Lintas Sibuhuan-Gunung Tua Km.8 Desa Sangkilon Kecamatan Lubuk Barumun Kab Kab. Padang Lawas - Prop. Sumatera Utara - Indonesia 22763,,
287,384,Aktif,Akademi Kebidanan Eunice Rajawali Binjai,1 Oktober 2007 ,189DO2007,1 Oktober 2007 ,Jl Cut Nyak Dien No 37 B-c ,Kec. Binjai Kota - Kota Binjai - Prop. Sumatera Utara,12345,Jl Cut Nyak Dien No 37 B-c  Kec. Binjai Kota - Kota Binjai - Prop. Sumatera Utara 12345 ,,,061-7715-6852,061-7715-6852, , ,Akademi Kebidanan Eunice Rajawali Binjai Jl Cut Nyak Dien No 37 B-c  Kec. Binjai Kota - Kota Binjai - Prop. Sumatera Utara 12345,3.6103294,98.5015512
288,385,Aktif,Akademi Kebidanan As-Syifa Kisaran,12 Juni 2006 ,151DO2007,14 Agustus 2007 ,Jln. Durian LK.IV Kel. Kisaran Naga Kec. Kota Kisaran Timur,Kab. Asahan - Prop. Sumatera Utara - Indonesia,21224,Jln. Durian LK.IV Kel. Kisaran Naga Kec. Kota Kisaran Timur Kab. Asahan - Prop. Sumatera Utara - Indonesia 21224 ,,,0623-4562044,0623-4562044,akbid_assyifa@yahoo.co.id,akbidassyifakisaran.ac.id,Akademi Kebidanan As-Syifa Kisaran Jln. Durian LK.IV Kel. Kisaran Naga Kec. Kota Kisaran Timur Kab. Asahan - Prop. Sumatera Utara - Indonesia 21224,,
289,386,Aktif,Akademi Kebidanan Harapan Keluarga,9/4/2007,2500DTK-I2009,16 Juni 2009 ,"Jalan Yos Sudarso  km 6,5 gunungsitoli",Kota Gunung Sitoli - Prop. Sumatera Utara - Indonesia,22813,"Jalan Yos Sudarso  km 6,5 gunungsitoli Kota Gunung Sitoli - Prop. Sumatera Utara - Indonesia 22813 ",,,6397000268, , akbid_haga@yahoo.com, ,"Akademi Kebidanan Harapan Keluarga Jalan Yos Sudarso  km 6,5 gunungsitoli Kota Gunung Sitoli - Prop. Sumatera Utara - Indonesia 22813",,
290,387,Aktif,Akademi Kebidanan Sari Husada,25 Juni 2007 ,82DO2007,25 Juni 2007 ,Jalan Dewantara No 134 Pancur Batu,Kec. Pancur Batu - Kab. Deli Serdang - Prop. Sumatera Utara,20353,Jalan Dewantara No 134 Pancur Batu Kec. Pancur Batu - Kab. Deli Serdang - Prop. Sumatera Utara 20353 ,,,61845656,618211062, , ,Akademi Kebidanan Sari Husada Jalan Dewantara No 134 Pancur Batu Kec. Pancur Batu - Kab. Deli Serdang - Prop. Sumatera Utara 20353,,
291,389,Aktif,Akademi Keperawatan Arta Kaban Jahe,8 Februari 1996 ,HK.OO.06.1.1.452,8 Februari 1996 ,"Jl. Jamin Ginting No. 27 Ketaren kabanjahe
",Kec. Kabanjahe - Kab. Karo - Prop. Sumatera Utara,12345,"Jl. Jamin Ginting No. 27 Ketaren kabanjahe
 Kec. Kabanjahe - Kab. Karo - Prop. Sumatera Utara 12345 ",,,62820677,62822874, , ,"Akademi Keperawatan Arta Kaban Jahe Jl. Jamin Ginting No. 27 Ketaren kabanjahe
 Kec. Kabanjahe - Kab. Karo - Prop. Sumatera Utara 12345",,
292,391,Aktif,Akademi Kebidanan Palapa Husada,18 Juli 2008 ,142DO2008,18 Juli 2008 ,Jalan Bunga Lau No. 9 Tuntungan,Kec. Medan Tuntungan - Kota Medan - Prop. Sumatera Utara,12345,Jalan Bunga Lau No. 9 Tuntungan Kec. Medan Tuntungan - Kota Medan - Prop. Sumatera Utara 12345 ,,,061-8367405, 061-8367405,palapa_husada@yahoo.com, ,Akademi Kebidanan Palapa Husada Jalan Bunga Lau No. 9 Tuntungan Kec. Medan Tuntungan - Kota Medan - Prop. Sumatera Utara 12345,3.513759,98.6522069
293,393,Aktif,Akademi Keperawatan Harapan Mama Deli Serdang,11 Juni 1996 ,C.11.HT.03.02-TH.1999,7 Maret 2001 ,Deli Serdang ,Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia,12345,Deli Serdang  Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia 12345 ,,,061-7382286,061-7382285, , ,Akademi Keperawatan Harapan Mama Deli Serdang Deli Serdang  Kab. Deli Serdang - Prop. Sumatera Utara - Indonesia 12345,3.6068328,98.7852608
294,394,Aktif,Akademi Kebidanan Paluta Husada,18 Juni 2008 ,141DO2008,18 Juni 2008 , JL. GUNUNG TUA-SIBUHUAN Km. 5 AEK HARUAYA,Kec. Portibi - Kab. Padang Lawas utara - Prop. Sumatera Utara,22753, JL. GUNUNG TUA-SIBUHUAN Km. 5 AEK HARUAYA Kec. Portibi - Kab. Padang Lawas utara - Prop. Sumatera Utara 22753 ,,,85275238310, , wulan_surb@yahoo.co.id, ,Akademi Kebidanan Paluta Husada  JL. GUNUNG TUA-SIBUHUAN Km. 5 AEK HARUAYA Kec. Portibi - Kab. Padang Lawas utara - Prop. Sumatera Utara 22753,,
295,395,Aktif,Akademi Keperawatan Columbia Asia,13 Juni 2001 ,163DO2008,15 Agustus 2008 ,"Jl. Bunga Lau No. 26-28
",Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara,20136,"Jl. Bunga Lau No. 26-28
 Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara 20136 ",,,061-8369405, ,akper.columbiaasia@yahoo.com,http:Akper Columbia Asia Medan,"Akademi Keperawatan Columbia Asia Jl. Bunga Lau No. 26-28
 Kec. Medan Helvetia - Kota Medan - Prop. Sumatera Utara 20136",,
296,396,Aktif,Akademi Keperawatan Bina Husada Tebing Tinggi,17 Desember 1993 ,162D2008,15 Agustus 2008 ,Jl Prof Muhammad Yamin No 1-A ,Kota Tebing Tinggi - Prop. Sumatera Utara - Indonesia,20630,Jl Prof Muhammad Yamin No 1-A  Kota Tebing Tinggi - Prop. Sumatera Utara - Indonesia 20630 ,,,0621-21449,0621-21449, , ,Akademi Keperawatan Bina Husada Tebing Tinggi Jl Prof Muhammad Yamin No 1-A  Kota Tebing Tinggi - Prop. Sumatera Utara - Indonesia 20630,,
297,397,Aktif,Akademi Keperawatan Sehat Binjai,9/9/2008,190DO2008,9/9/2008,Jalan Samanhudi Pasar III Binjai,Kec. Binjai Selatan - Kota Binjai - Prop. Sumatera Utara,20724,Jalan Samanhudi Pasar III Binjai Kec. Binjai Selatan - Kota Binjai - Prop. Sumatera Utara 20724 ,,,618823834,618823834, akpersehat@gmail.com,www.yayasansehat.com,Akademi Keperawatan Sehat Binjai Jalan Samanhudi Pasar III Binjai Kec. Binjai Selatan - Kota Binjai - Prop. Sumatera Utara 20724,,
298,398,Aktif,Akademi Keperawatan Malahayati Medan,23 Desember 2008 ,258DO2008,23 Desember 2008 ,Jl. Cenderawasih No. 161 Sei- Sikambing B Medan,Kec. Medan Sunggal - Kota Medan - Prop. Sumatera Utara,20122,Jl. Cenderawasih No. 161 Sei- Sikambing B Medan Kec. Medan Sunggal - Kota Medan - Prop. Sumatera Utara 20122 ,,,061-8452445,061-8452445,akpermalahayatimedan@yahoo.co.id,www.akpermalahayati.ac.id,Akademi Keperawatan Malahayati Medan Jl. Cenderawasih No. 161 Sei- Sikambing B Medan Kec. Medan Sunggal - Kota Medan - Prop. Sumatera Utara 20122,,
299,399,Aktif,Akademi Kebidanan Kharisma Husada Binjai,22 Desember 2008 ,248DO2008,22 Desember 2008 ," JL. Padang Sidimpuan, No.18, Binjai, Kota Binja",Kec. Binjai Kota - Kota Binjai - Prop. Sumatera Utara,12345," JL. Padang Sidimpuan, No.18, Binjai, Kota Binja Kec. Binjai Kota - Kota Binjai - Prop. Sumatera Utara 12345 ",,, (061) 8821859,  (061) 8821859, akbidkharismahusada@ymail.com, akbidkharismahusada.ac.id,"Akademi Kebidanan Kharisma Husada Binjai  JL. Padang Sidimpuan, No.18, Binjai, Kota Binja Kec. Binjai Kota - Kota Binjai - Prop. Sumatera Utara 12345",3.594354,98.487153
300,401,Aktif,Akademi Manajemen Informatika dan Komputer Imelda,26 Februari 2009 ,08DO2009,26 Februari 2009 ,"Jl.Bilal No.24 Pulo Brayan Darat I Kec.Medan Timur
Jl. K.L Yos Sudarso No.45 AB ",Kec. Medan Timur - Kota Medan - Prop. Sumatera Utara,20239,"Jl.Bilal No.24 Pulo Brayan Darat I Kec.Medan Timur
Jl. K.L Yos Sudarso No.45 AB  Kec. Medan Timur - Kota Medan - Prop. Sumatera Utara 20239 ",,,061-6637234,061-6618457,amik-imelda@hotmail.com,www.amikimelda.ac.id,"Akademi Manajemen Informatika dan Komputer Imelda Jl.Bilal No.24 Pulo Brayan Darat I Kec.Medan Timur
Jl. K.L Yos Sudarso No.45 AB  Kec. Medan Timur - Kota Medan - Prop. Sumatera Utara 20239",,
